species,phyloname.x,Order.x,Family.x,Bodymass,Age_at_first_breeding,Max_longevity,Name_update.helps.later.,Traded,Cites_name,Listing,Trade_since_2000,Trade_since_2015
Microcerculus philomela,Microcerculus philomela,PASSERIFORMES,Troglodytidae,17.78,1.078755128,7.918516323,Microcerculus philomela,0,Microcerculus philomela,Not Listed,0,0
Microcerculus ustulatus,Microcerculus ustulatus,PASSERIFORMES,Troglodytidae,21,1.113929783,7.961332649,Microcerculus ustulatus,0,Microcerculus ustulatus,Not Listed,0,0
Microchera albocoronata,Microchera albocoronata,CAPRIMULGIFORMES,Trochilidae,2.7,0.813368836,6.48839738,Microchera albocoronata,0,Microchera albocoronata,Listed,1,0
Microdynamis parva,Microdynamis parva,CUCULIFORMES,Cuculidae,47.22,1.41206951,10.94863289,Microdynamis parva,0,Microdynamis parva,Not Listed,0,0
Microeca fascinans,Microeca fascinans,PASSERIFORMES,Petroicidae,14.47,1.181570598,6.963227485,Microeca fascinans,0,Microeca fascinans,Not Listed,0,0
Microeca flavovirescens,Microeca flavovirescens,PASSERIFORMES,Petroicidae,15,1.189972667,7.847683502,Kempiella flavovirescens,0,Microeca flavovirescens,Not Listed,0,0
Microeca griseoceps,Microeca griseoceps,PASSERIFORMES,Petroicidae,10.6,1.111311487,7.374135583,Kempiella griseoceps,0,Microeca griseoceps,Not Listed,0,0
Microeca hemixantha,Microeca hemixantha,PASSERIFORMES,Petroicidae,13.65,1.02516302,6.166978352,Microeca hemixantha,0,Microeca hemixantha,Not Listed,0,0
Microeca papuana,Microeca papuana,PASSERIFORMES,Petroicidae,14.4,1.180442494,7.777764578,Devioeca papuana,0,Microeca papuana,Not Listed,0,0
Microhierax caerulescens,Microhierax caerulescens,FALCONIFORMES,Falconidae,38.72,1.181903153,8.68654742,Microhierax caerulescens,1,Microhierax caerulescens,Listed,0,0
Microhierax erythrogenys,Microhierax erythrogenys,FALCONIFORMES,Falconidae,49.96,1.316489605,9.564913857,Microhierax erythrogenys,1,Microhierax erythrogenys,Listed,1,1
Microhierax fringillarius,Microhierax fringillarius,FALCONIFORMES,Falconidae,42.9,1.20601211,8.265954946,Microhierax fringillarius,1,Microhierax fringillarius,Listed,0,0
Microhierax latifrons,Microhierax latifrons,FALCONIFORMES,Falconidae,41.2,1.268462518,9.07105566,Microhierax latifrons,1,Microhierax latifrons,Listed,0,0
Microhierax melanoleucos,Microhierax melanoleucos,FALCONIFORMES,Falconidae,64.22,1.326287819,10.3861767,Microhierax melanoleucos,1,Microhierax melanoleucos,Listed,0,0
Microligea palustris,Microligea palustris,PASSERIFORMES,Phaenicophilidae,13.2,1.160383049,8.056603802,Microligea palustris,0,Microligea palustris,Not Listed,0,0
Micromacronus leytensis,Micromacronus leytensis,PASSERIFORMES,Cisticolidae,5.5,0.860384785,6.296571737,Micromacronus leytensis,0,Micromacronus leytensis,Not Listed,0,0
Micromacronus sordidus,Micromacronus sordidus,PASSERIFORMES,Cisticolidae,5.5,0.860384785,6.22917317,Micromacronus sordidus,0,Micromacronus sordidus,Not Listed,0,0
Micromonacha lanceolata,Micromonacha lanceolata,PICIFORMES,Bucconidae,19.8,1.256860912,8.263570967,Micromonacha lanceolata,0,Micromonacha lanceolata,Not Listed,0,0
Microparra capensis,Microparra capensis,CHARADRIIFORMES,Jacanidae,41.3,1.474283944,10.1691293,Microparra capensis,0,Microparra capensis,Not Listed,0,0
Micropsitta bruijnii,Micropsitta bruijnii,PSITTACIFORMES,Psittacidae,13.43,0.911872723,8.104538633,Micropsitta bruijnii,1,Micropsitta bruijnii,Listed,1,1
Micropsitta finschii,Micropsitta finschii,PSITTACIFORMES,Psittacidae,14.95,0.930916316,8.308278804,Micropsitta finschii,1,Micropsitta finschii,Listed,0,0
Micropsitta geelvinkiana,Micropsitta geelvinkiana,PSITTACIFORMES,Psittacidae,12.2,0.895143276,7.866702546,Micropsitta geelvinkiana,1,Micropsitta geelvinkiana,Listed,0,0
Micropsitta keiensis,Micropsitta keiensis,PSITTACIFORMES,Psittacidae,12.1,0.893724166,7.957570119,Micropsitta keiensis,0,Micropsitta keiensis,Listed,1,1
Micropsitta meeki,Micropsitta meeki,PSITTACIFORMES,Psittacidae,12.98,0.905901459,7.980509975,Micropsitta meeki,0,Micropsitta meeki,Listed,1,0
Micropsitta pusio,Micropsitta pusio,PSITTACIFORMES,Psittacidae,14,1.049000536,8.816731861,Micropsitta pusio,0,Micropsitta pusio,Listed,1,0
Micropygia schomburgkii,Micropygia schomburgkii,GRUIFORMES,Rallidae,31.2,1.374636895,9.359291148,Micropygia schomburgkii,0,Micropygia schomburgkii,Not Listed,0,0
Microrhopias quixensis,Microrhopias quixensis,PASSERIFORMES,Thamnophilidae,7.9,1.04878407,6.887044167,Microrhopias quixensis,0,Microrhopias quixensis,Not Listed,0,0
Microstilbon burmeisteri,Microstilbon burmeisteri,CAPRIMULGIFORMES,Trochilidae,2.5,0.801390882,6.54798615,Microstilbon burmeisteri,0,Microstilbon burmeisteri,Listed,0,0
